time,equity,cash,pos_side,pos_qty,pos_entry,pos_sl,pos_tp
1773238200,10415.6105,10415.6105,,0.0,,,
1773238500,10415.6105,10415.6105,,0.0,,,
1773238800,10415.6105,10415.6105,,0.0,,,
1773239100,10415.6105,10415.6105,,0.0,,,
1773239400,10415.6105,10415.6105,,0.0,,,
1773239700,10412.354500000001,10415.6105,SELL,0.5,1687.371,1697.371,1669.371
1773240000,10410.6105,10410.6105,,0.0,,,
1773240300,10410.6105,10410.6105,,0.0,,,
1773240600,10410.6105,10410.6105,,0.0,,,
1773240900,10410.6105,10410.6105,,0.0,,,
1773241200,10410.6105,10410.6105,,0.0,,,
1773241500,10411.656500000001,10410.6105,SELL,0.5,1705.851,1715.851,1687.851
1773241800,10413.987000000001,10410.6105,SELL,0.5,1705.851,1715.851,1687.851
1773242100,10416.238000000001,10410.6105,SELL,0.5,1705.851,1715.851,1687.851
1773242400,10418.512,10410.6105,SELL,0.5,1705.851,1715.851,1687.851
1773242700,10418.979000000001,10410.6105,SELL,0.5,1705.851,1715.851,1687.851
1773243000,10419.6105,10419.6105,,0.0,,,
1773243300,10419.6105,10419.6105,,0.0,,,
1773243600,10419.6105,10419.6105,,0.0,,,
1773243900,10419.6105,10419.6105,,0.0,,,
1773244200,10419.6105,10419.6105,,0.0,,,
1773244500,10419.6105,10419.6105,,0.0,,,
1773244800,10419.6105,10419.6105,,0.0,,,
1773245100,10421.5,10419.6105,SELL,0.5,1682.094,1692.094,1664.094
1773245400,10423.6915,10419.6105,SELL,0.5,1682.094,1692.094,1664.094
1773245700,10423.6175,10419.6105,SELL,0.5,1682.094,1692.094,1664.094
1773246000,10424.646,10419.6105,SELL,0.5,1682.094,1692.094,1664.094
1773246300,10422.202500000001,10419.6105,SELL,0.5,1682.094,1692.094,1664.094
1773246600,10419.7515,10419.6105,SELL,0.5,1682.094,1692.094,1664.094
1773246900,10420.152,10419.6105,SELL,0.5,1682.094,1692.094,1664.094
1773247200,10422.352,10419.6105,SELL,0.5,1682.094,1692.094,1664.094
1773247500,10422.737000000001,10419.6105,SELL,0.5,1682.094,1692.094,1664.094
1773247800,10424.917500000001,10419.6105,SELL,0.5,1682.094,1692.094,1664.094
1773248100,10427.1445,10419.6105,SELL,0.5,1682.094,1692.094,1664.094
1773248400,10426.661,10419.6105,SELL,0.5,1682.094,1692.094,1664.094
1773248700,10428.484,10419.6105,SELL,0.5,1682.094,1692.094,1664.094
1773249000,10428.6105,10428.6105,,0.0,,,
1773249300,10430.819500000001,10428.6105,SELL,0.5,1663.865,1673.865,1645.865
1773249600,10427.037,10428.6105,SELL,0.5,1663.865,1673.865,1645.865
1773249900,10428.608,10428.6105,SELL,0.5,1663.865,1673.865,1645.865
